visit_id,date,country,traffic_source,device_type,browser,page,session_duration_sec,pages_viewed,bounce,conversion
1,2025-04-13,Turkey,Referral,Desktop,Chrome,/about,49,7,0,0
2,2025-12-15,Turkey,Social Media,Mobile,Chrome,/blog,785,3,0,0
3,2025-09-28,India,Direct,Desktop,Safari,/blog,1734,13,0,0
4,2025-04-17,Italy,Organic Search,Mobile,Opera,/blog,529,5,0,0
5,2025-03-13,Mexico,Email,Mobile,Opera,/contact,1649,10,1,0
6,2025-07-08,South Africa,Organic Search,Mobile,Edge,/about,1770,6,0,0
7,2025-01-21,Netherlands,Referral,Desktop,Chrome,/login,555,6,0,0
8,2025-04-13,UK,Organic Search,Mobile,Edge,/login,245,14,0,0
9,2025-05-02,Japan,Direct,Mobile,Chrome,/about,472,4,0,0
10,2025-08-03,France,Email,Mobile,Safari,/login,1261,6,0,0
11,2025-11-27,Mexico,Referral,Mobile,Opera,/home,1733,3,1,0
12,2025-03-29,USA,Email,Desktop,Opera,/contact,492,7,0,0
13,2025-04-10,Canada,Social Media,Desktop,Safari,/,439,7,0,0
14,2025-12-26,India,Organic Search,Mobile,Edge,/,1055,4,0,0
15,2025-06-01,France,Email,Desktop,Edge,/,352,2,0,0
16,2025-05-11,France,Paid Ads,Mobile,Firefox,/,1073,11,0,0
17,2025-05-30,USA,Organic Search,Mobile,Chrome,/,1206,7,0,0
18,2025-11-05,Saudi Arabia,Social Media,Mobile,Edge,/login,1472,3,0,1
19,2025-09-15,Indonesia,Email,Tablet,Safari,/pricing,1212,1,0,0
20,2025-12-10,Netherlands,Referral,Mobile,Edge,/blog,1631,2,0,0
21,2025-10-21,Italy,Social Media,Desktop,Opera,/contact,142,10,0,0
22,2025-07-11,Brazil,Paid Ads,Desktop,Chrome,/pricing,360,9,0,0
23,2025-10-04,Mexico,Email,Mobile,Firefox,/contact,1558,12,0,0
24,2025-06-10,South Africa,Direct,Desktop,Chrome,/home,1573,8,0,0
25,2025-11-10,Australia,Organic Search,Desktop,Opera,/about,515,14,1,0
26,2025-01-22,UK,Referral,Mobile,Opera,/products,93,6,0,0
27,2025-09-10,South Africa,Direct,Mobile,Opera,/blog,1002,14,0,0
28,2025-08-24,Pakistan,Email,Tablet,Opera,/home,1497,6,0,0
29,2025-12-11,Turkey,Email,Desktop,Safari,/pricing,839,14,1,0
30,2025-02-18,Australia,Social Media,Desktop,Firefox,/products,870,1,1,1
31,2025-02-28,South Africa,Email,Desktop,Opera,/about,352,2,0,0
32,2025-06-19,Italy,Referral,Tablet,Opera,/home,1313,4,0,0
33,2025-07-07,India,Direct,Mobile,Edge,/about,875,3,1,0
34,2025-09-28,Mexico,Referral,Mobile,Firefox,/about,1296,14,0,0
35,2025-07-09,Spain,Paid Ads,Tablet,Chrome,/login,1199,1,0,0
36,2025-06-24,Mexico,Paid Ads,Mobile,Firefox,/contact,302,8,1,1
37,2025-02-20,UAE,Organic Search,Mobile,Firefox,/products,1542,7,0,0
38,2025-12-30,South Africa,Organic Search,Desktop,Firefox,/contact,1613,4,0,0
39,2025-02-24,Brazil,Paid Ads,Mobile,Opera,/about,1259,12,1,0
40,2025-09-01,China,Email,Mobile,Opera,/login,1203,12,0,0
41,2025-11-16,South Africa,Referral,Mobile,Safari,/home,607,9,0,0
42,2025-05-11,USA,Paid Ads,Tablet,Chrome,/about,654,11,0,0
43,2025-11-03,China,Organic Search,Tablet,Edge,/pricing,457,14,0,0
44,2025-05-15,India,Paid Ads,Mobile,Firefox,/about,699,4,0,0
45,2025-01-21,France,Email,Mobile,Chrome,/contact,1011,1,0,0
46,2025-11-25,Turkey,Paid Ads,Mobile,Chrome,/products,864,10,0,0
47,2025-06-16,Turkey,Referral,Desktop,Safari,/home,511,1,1,1
48,2025-10-01,UK,Direct,Desktop,Edge,/contact,773,1,0,0
49,2025-03-30,USA,Email,Mobile,Firefox,/about,1560,1,1,0
50,2025-11-12,Australia,Organic Search,Mobile,Edge,/pricing,744,4,1,1
51,2025-01-14,Brazil,Referral,Desktop,Safari,/blog,1412,1,0,0
52,2025-08-30,South Africa,Paid Ads,Tablet,Opera,/login,1234,2,0,0
53,2025-09-22,South Africa,Paid Ads,Desktop,Chrome,/pricing,1652,4,1,0
54,2025-12-12,Saudi Arabia,Direct,Desktop,Firefox,/about,259,7,0,1
55,2025-02-22,China,Organic Search,Mobile,Opera,/pricing,1442,2,0,0
56,2025-12-06,Turkey,Organic Search,Desktop,Safari,/login,610,8,0,0
57,2025-04-02,China,Social Media,Desktop,Edge,/blog,134,13,1,1
58,2025-09-21,Saudi Arabia,Organic Search,Desktop,Chrome,/pricing,122,7,0,0
59,2025-02-04,Italy,Direct,Mobile,Firefox,/blog,990,9,0,0
60,2025-07-25,China,Social Media,Mobile,Opera,/about,1170,14,0,0
61,2025-03-22,Netherlands,Social Media,Mobile,Opera,/blog,1792,6,1,0
62,2025-02-19,Germany,Paid Ads,Mobile,Chrome,/contact,1529,4,0,0
63,2025-12-26,USA,Paid Ads,Desktop,Edge,/contact,1711,6,0,0
64,2025-01-02,USA,Organic Search,Tablet,Safari,/blog,159,4,0,0
65,2025-02-23,Indonesia,Social Media,Desktop,Edge,/home,884,7,0,0
66,2025-04-16,UAE,Paid Ads,Tablet,Edge,/products,352,9,0,0
67,2025-09-17,Netherlands,Direct,Mobile,Edge,/home,589,3,0,0
68,2025-11-06,UAE,Paid Ads,Tablet,Chrome,/blog,1766,3,0,0
69,2025-07-10,France,Email,Desktop,Chrome,/products,792,2,1,1
70,2025-08-06,Japan,Email,Mobile,Safari,/contact,330,1,0,0
71,2025-02-13,UK,Paid Ads,Desktop,Edge,/products,831,14,0,0
72,2025-06-11,South Africa,Social Media,Desktop,Chrome,/blog,541,1,1,0
73,2025-07-21,India,Social Media,Mobile,Safari,/contact,1322,13,0,0
74,2025-09-27,Japan,Referral,Desktop,Safari,/products,1522,3,0,1
75,2025-12-17,USA,Email,Mobile,Edge,/products,501,14,1,0
76,2025-10-31,Japan,Direct,Desktop,Firefox,/home,621,7,0,0
77,2025-09-28,UAE,Social Media,Desktop,Edge,/products,261,11,0,0
